#TAG, NAME
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xset,"utility for configuring and ajusting X server"
,bc, "is a calculator language"
,xorg-xprop,"is a tool for detecting window properties."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,eog, "is an image viewer"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is a video player"
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."&
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,maim,"can take quick screenshots at your request."
,unzip,"unzips zips."
,lynx,"is a terminal web browser"
,xclip,"allows for copying and pasting from the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,xorg-xbacklight,"enables changing screen brightness levels."
A,simple-mtpfs,"enables the mounting of cell phones."
,i3-wm,"is the tiling window manager"
,gimp,"is the GNU Image Manipulation Program"
,thunderbird,"is a free email client"
,thunar,"is a file manager"
,firefox,"is a popular web browser"
,signal-desktop,"is a private messenger"
,element-desktop,"is a decentralized messenger"
,nicotine+,"is a Soulseek client"
,transmission-gtk,"is a torrent client"
,vim,"is a powerful terminal based text editor"
A,vscodium-bin,"is an IDE"
A,mullvad-vpn-bin,"is the Mullvad VPN client"
,keepassxc,"is a password manager"
A,anki-bin,"is a spaced repetition flashcard app"
,pdfarranger,"is a PDF pages arranger"
,libreoffice-still,"is an office suite"
